
==
PG
==
NL: Newton 0 ; 0.131445424 1
NL: Newton 1 ; 0.00395250148 0.0300695251
|  LS: AG 1 ; 0.0130054829 1
|  LS: AG 2 ; 0.0104348368 0.8
|  LS: AG 3 ; 0.00844491568 0.64
|  LS: AG 4 ; 0.00693323478 0.512
|  LS: AG 5 ; 0.00581639103 0.4096
|  LS: AG 6 ; 0.0050227982 0.32768
|  LS: AG 7 ; 0.00448692395 0.262144
|  LS: AG 8 ; 0.00414710651 0.2097152
NL: Newton 2 ; 0.00414710651 0.0315500257
|  LS: AG 1 ; 0.0102800675 1
|  LS: AG 2 ; 0.00878938419 0.8
|  LS: AG 3 ; 0.0076401994 0.64
|  LS: AG 4 ; 0.00676313645 0.512
|  LS: AG 5 ; 0.00610053152 0.4096
|  LS: AG 6 ; 0.00560453506 0.32768
|  LS: AG 7 ; 0.00523591939 0.262144
|  LS: AG 8 ; 0.00496318987 0.2097152
NL: Newton 3 ; 0.00496318987 0.0377585595
|  LS: AG 1 ; 0.00804126412 1
|  LS: AG 2 ; 0.00730795027 0.8
|  LS: AG 3 ; 0.00675058721 0.64
|  LS: AG 4 ; 0.00632854347 0.512
|  LS: AG 5 ; 0.00600948196 0.4096
|  LS: AG 6 ; 0.00576815048 0.32768
|  LS: AG 7 ; 0.00558518082 0.262144
|  LS: AG 8 ; 0.00544593603 0.2097152
NL: Newton 4 ; 0.00544593603 0.0414311572
|  LS: AG 1 ; 0.00622311477 1
|  LS: AG 2 ; 0.00600499722 0.8
|  LS: AG 3 ; 0.00585091622 0.64
|  LS: AG 4 ; 0.00574180699 0.512
|  LS: AG 5 ; 0.00566412423 0.4096
|  LS: AG 6 ; 0.00560839169 0.32768
|  LS: AG 7 ; 0.00556803945 0.262144
|  LS: AG 8 ; 0.00553852943 0.2097152
NL: Newton 5 ; 0.00553852943 0.0421355819
|  LS: AG 1 ; 0.0047626602 1
|  LS: AG 2 ; 0.00488064974 0.8
|  LS: AG 3 ; 0.00498968643 0.64
|  LS: AG 4 ; 0.00508567496 0.512
|  LS: AG 5 ; 0.00516775373 0.4096
|  LS: AG 6 ; 0.00523663918 0.32768
|  LS: AG 7 ; 0.00529372807 0.262144
|  LS: AG 8 ; 0.00534062545 0.2097152
NL: Newton 6 ; 0.00534062545 0.0406299838
NL: Newton 7 ; 0.00360203032 0.0274032386
NL: Newton 8 ; 0.00079450647 0.00604438287
NL: Newton 9 ; 0.000535563502 0.00407441724
NL: Newton 10 ; 0.000122808486 0.00093429259
NL: Newton 11 ; 8.27795886e-05 0.000629763943
NL: Newton 12 ; 1.90642636e-05 0.000145035582
NL: Newton 13 ; 1.2846505e-05 9.77326146e-05
NL: Newton 14 ; 2.95786282e-06 2.25025926e-05
NL: Newton 15 ; 1.99330838e-06 1.51645323e-05
NL: Newton 16 ; 4.58835575e-07 3.49069264e-06
NL: Newton 17 ; 3.09387149e-07 2.35373085e-06
NL: Newton 18 ; 7.11745477e-08 5.41476039e-07
NL: Newton 19 ; 4.80052792e-08 3.65210729e-07
NL: Newton 20 ; 1.10371745e-08 8.39677346e-08
NL: Newton 21 ; 7.44441351e-09 5.66350146e-08
NL: Newton 22 ; 1.68266003e-09 1.28012066e-08
NL: Newton Converged
