
==
PG
==
NL: Newton 0 ; 0.0870012002 1
NL: Newton 1 ; 0.00263953795 0.0303390981
|  LS: AG 1 ; 0.00863606636 1
|  LS: AG 2 ; 0.00692930318 0.8
|  LS: AG 3 ; 0.00560861376 0.64
|  LS: AG 4 ; 0.00460593384 0.512
|  LS: AG 5 ; 0.00386582716 0.4096
|  LS: AG 6 ; 0.0033406335 0.32768
|  LS: AG 7 ; 0.00298664746 0.262144
|  LS: AG 8 ; 0.00276272483 0.2097152
NL: Newton 2 ; 0.00276272483 0.0317550197
|  LS: AG 1 ; 0.00682614695 1
|  LS: AG 2 ; 0.00583652954 0.8
|  LS: AG 3 ; 0.00507393234 0.64
|  LS: AG 4 ; 0.00449222804 0.512
|  LS: AG 5 ; 0.00405305569 0.4096
|  LS: AG 6 ; 0.00372456999 0.32768
|  LS: AG 7 ; 0.00348066006 0.262144
|  LS: AG 8 ; 0.00330036641 0.2097152
NL: Newton 3 ; 0.00330036641 0.0379347227
|  LS: AG 1 ; 0.00533941914 1
|  LS: AG 2 ; 0.00485270717 0.8
|  LS: AG 3 ; 0.00448297748 0.64
|  LS: AG 4 ; 0.0042031862 0.512
|  LS: AG 5 ; 0.0039918079 0.4096
|  LS: AG 6 ; 0.00383203588 0.32768
|  LS: AG 7 ; 0.00371098444 0.262144
|  LS: AG 8 ; 0.00361892107 0.2097152
NL: Newton 4 ; 0.00361892107 0.04159622
|  LS: AG 1 ; 0.00413205724 1
|  LS: AG 2 ; 0.00398742704 0.8
|  LS: AG 3 ; 0.0038854043 0.64
|  LS: AG 4 ; 0.0038132732 0.512
|  LS: AG 5 ; 0.00376200464 0.4096
|  LS: AG 6 ; 0.00372528712 0.32768
|  LS: AG 7 ; 0.00369874941 0.262144
|  LS: AG 8 ; 0.00367937584 0.2097152
NL: Newton 5 ; 0.00367937584 0.0422910929
|  LS: AG 1 ; 0.00316223616 1
|  LS: AG 2 ; 0.00324076356 0.8
|  LS: AG 3 ; 0.00331339693 0.64
|  LS: AG 4 ; 0.00337736988 0.512
|  LS: AG 5 ; 0.00343208863 0.4096
|  LS: AG 6 ; 0.00347802053 0.32768
|  LS: AG 7 ; 0.00351609139 0.262144
|  LS: AG 8 ; 0.00354736853 0.2097152
NL: Newton 6 ; 0.00354736853 0.0407737884
NL: Newton 7 ; 0.00239151674 0.0274883189
NL: Newton 8 ; 0.000527325208 0.00606112567
NL: Newton 9 ; 0.000355531926 0.00408651749
NL: Newton 10 ; 8.14284853e-05 0.00093594669
NL: Newton 11 ; 5.4884955e-05 0.000630852848
NL: Newton 12 ; 1.2635726e-05 0.000145236227
NL: Newton 13 ; 8.51409667e-06 9.786183e-05
NL: Newton 14 ; 1.9593963e-06 2.25214859e-05
NL: Newton 15 ; 1.32062256e-06 1.51793603e-05
NL: Newton 16 ; 3.03953256e-07 3.49366739e-06
NL: Newton 17 ; 2.04707948e-07 2.35293246e-06
NL: Newton 18 ; 4.71157202e-08 5.41552531e-07
NL: Newton 19 ; 3.17639867e-08 3.65098258e-07
NL: Newton 20 ; 7.32472728e-09 8.41911061e-08
NL: Newton Converged
