
==
PG
==
NL: Newton 0 ; 0.177413809 1
NL: Newton 1 ; 0.00525847606 0.0296396098
|  LS: AG 1 ; 0.0172691311 1
|  LS: AG 2 ; 0.013855897 0.8
|  LS: AG 3 ; 0.0112140775 0.64
|  LS: AG 4 ; 0.00920758279 0.512
|  LS: AG 5 ; 0.00772563126 0.4096
|  LS: AG 6 ; 0.00667308378 0.32768
|  LS: AG 7 ; 0.00596279515 0.262144
|  LS: AG 8 ; 0.00551275317 0.2097152
NL: Newton 2 ; 0.00551275317 0.0310728528
|  LS: AG 1 ; 0.0136502444 1
|  LS: AG 2 ; 0.0116709157 0.8
|  LS: AG 3 ; 0.0101452699 0.64
|  LS: AG 4 ; 0.00898112364 0.512
|  LS: AG 5 ; 0.00810184663 0.4096
|  LS: AG 6 ; 0.00744384476 0.32768
|  LS: AG 7 ; 0.00695498202 0.262144
|  LS: AG 8 ; 0.0065934041 0.2097152
NL: Newton 3 ; 0.0065934041 0.0371639848
|  LS: AG 1 ; 0.0106779629 1
|  LS: AG 2 ; 0.0097041498 0.8
|  LS: AG 3 ; 0.0089641562 0.64
|  LS: AG 4 ; 0.00840395782 0.512
|  LS: AG 5 ; 0.00798056077 0.4096
|  LS: AG 6 ; 0.00766039496 0.32768
|  LS: AG 7 ; 0.00741771715 0.262144
|  LS: AG 8 ; 0.00723307725 0.2097152
NL: Newton 4 ; 0.00723307725 0.040769528
|  LS: AG 1 ; 0.0082643915 1
|  LS: AG 2 ; 0.00797455238 0.8
|  LS: AG 3 ; 0.00776989905 0.64
|  LS: AG 4 ; 0.00762505138 0.512
|  LS: AG 5 ; 0.00752197991 0.4096
|  LS: AG 6 ; 0.00744807439 0.32768
|  LS: AG 7 ; 0.00739459485 0.262144
|  LS: AG 8 ; 0.00735550666 0.2097152
NL: Newton 5 ; 0.00735550666 0.0414596063
|  LS: AG 1 ; 0.00632578648 1
|  LS: AG 2 ; 0.00648215643 0.8
|  LS: AG 3 ; 0.00662677236 0.64
|  LS: AG 4 ; 0.00675414259 0.512
|  LS: AG 5 ; 0.00686308965 0.4096
|  LS: AG 6 ; 0.00695454453 0.32768
|  LS: AG 7 ; 0.00703034979 0.262144
|  LS: AG 8 ; 0.00709262953 0.2097152
NL: Newton 6 ; 0.00709262953 0.0399778889
NL: Newton 7 ; 0.00478524645 0.0269722322
NL: Newton 8 ; 0.00105426688 0.00594241725
NL: Newton 9 ; 0.000710231606 0.00400324874
NL: Newton 10 ; 0.000163263337 0.000920240304
NL: Newton 11 ; 0.000110044202 0.000620268528
NL: Newton 12 ; 2.53670746e-05 0.000142982526
NL: Newton 13 ; 1.70931503e-05 9.63462225e-05
NL: Newton 14 ; 3.93981794e-06 2.22069407e-05
NL: Newton 15 ; 2.65497108e-06 1.49648503e-05
NL: Newton 16 ; 6.11966271e-07 3.44937226e-06
NL: Newton 17 ; 4.12364928e-07 2.32431134e-06
NL: Newton 18 ; 9.49827881e-08 5.35374268e-07
NL: Newton 19 ; 6.4022613e-08 3.60866008e-07
NL: Newton 20 ; 1.47420087e-08 8.30939191e-08
NL: Newton 21 ; 9.90963653e-09 5.5856061e-08
NL: Newton 22 ; 2.30851014e-09 1.30120094e-08
NL: Newton Converged
