
==
PG
==
NL: Newton 0 ; 0.602128204 1
NL: Newton 1 ; 0.0431883995 0.0717262523
|  LS: AG 1 ; 0.26867502 1
|  LS: AG 2 ; 0.215098768 0.8
|  LS: AG 3 ; 0.172655638 0.64
|  LS: AG 4 ; 0.139189138 0.512
|  LS: AG 5 ; 0.113001298 0.4096
|  LS: AG 6 ; 0.0927475287 0.32768
|  LS: AG 7 ; 0.0773490976 0.262144
|  LS: AG 8 ; 0.0659165614 0.2097152
NL: Newton 2 ; 0.0659165614 0.109472636
|  LS: AG 1 ; 0.227229134 1
|  LS: AG 2 ; 0.190737835 0.8
|  LS: AG 3 ; 0.162696453 0.64
|  LS: AG 4 ; 0.141072422 0.512
|  LS: AG 5 ; 0.124362808 0.4096
|  LS: AG 6 ; 0.111436011 0.32768
|  LS: AG 7 ; 0.101428203 0.262144
|  LS: AG 8 ; 0.0936741601 0.2097152
NL: Newton 3 ; 0.0936741601 0.155571786
|  LS: AG 1 ; 0.185118841 1
|  LS: AG 2 ; 0.162801622 0.8
|  LS: AG 3 ; 0.146396232 0.64
|  LS: AG 4 ; 0.134187513 0.512
|  LS: AG 5 ; 0.125005828 0.4096
|  LS: AG 6 ; 0.118038031 0.32768
|  LS: AG 7 ; 0.112708841 0.262144
|  LS: AG 8 ; 0.108605061 0.2097152
NL: Newton 4 ; 0.108605061 0.180368666
|  LS: AG 1 ; 0.14392621 1
|  LS: AG 2 ; 0.133245248 0.8
|  LS: AG 3 ; 0.126134647 0.64
|  LS: AG 4 ; 0.121298587 0.512
|  LS: AG 5 ; 0.11794078 0.4096
|  LS: AG 6 ; 0.115564526 0.32768
|  LS: AG 7 ; 0.113853793 0.262144
|  LS: AG 8 ; 0.112603201 0.2097152
NL: Newton 5 ; 0.112603201 0.18700868
|  LS: AG 1 ; 0.105582614 1
|  LS: AG 2 ; 0.104070631 0.8
|  LS: AG 3 ; 0.104104543 0.64
|  LS: AG 4 ; 0.104824836 0.512
|  LS: AG 5 ; 0.105795166 0.4096
|  LS: AG 6 ; 0.1068009 0.32768
|  LS: AG 7 ; 0.107742088 0.262144
|  LS: AG 8 ; 0.108577848 0.2097152
NL: Newton 6 ; 0.108577848 0.180323471
NL: Newton 7 ; 0.0718498436 0.119326488
|  LS: AG 1 ; 0.0728311533 1
|  LS: AG 2 ; 0.0441609585 0.8
NL: Newton 8 ; 0.0441609585 0.073341455
|  LS: AG 1 ; 0.0580108294 1
