
==
PG
==
NL: Newton 0 ; 1.29530839 1
NL: Newton 1 ; 0.105381724 0.0813564746
|  LS: AG 1 ; 0.567980977 1
|  LS: AG 2 ; 0.450238171 0.8
|  LS: AG 3 ; 0.359531275 0.64
|  LS: AG 4 ; 0.289533817 0.512
|  LS: AG 5 ; 0.235792529 0.4096
|  LS: AG 6 ; 0.195044286 0.32768
|  LS: AG 7 ; 0.164780684 0.262144
|  LS: AG 8 ; 0.142953763 0.2097152
NL: Newton 2 ; 0.142953763 0.110362724
|  LS: AG 1 ; 0.488759087 1
|  LS: AG 2 ; 0.404429536 0.8
|  LS: AG 3 ; 0.341734012 0.64
|  LS: AG 4 ; 0.294674572 0.512
|  LS: AG 5 ; 0.259126697 0.4096
|  LS: AG 6 ; 0.232166733 0.32768
|  LS: AG 7 ; 0.211665889 0.262144
|  LS: AG 8 ; 0.196043154 0.2097152
NL: Newton 3 ; 0.196043154 0.151348633
|  LS: AG 1 ; 0.418481514 1
|  LS: AG 2 ; 0.358277683 0.8
|  LS: AG 3 ; 0.316054983 0.64
|  LS: AG 4 ; 0.285922729 0.512
|  LS: AG 5 ; 0.264071311 0.4096
|  LS: AG 6 ; 0.247998192 0.32768
|  LS: AG 7 ; 0.236027985 0.262144
|  LS: AG 8 ; 0.227016934 0.2097152
NL: Newton 4 ; 0.227016934 0.175260915
|  LS: AG 1 ; 0.352523881 1
|  LS: AG 2 ; 0.310947731 0.8
|  LS: AG 3 ; 0.284355727 0.64
|  LS: AG 4 ; 0.267034757 0.512
|  LS: AG 5 ; 0.255506982 0.4096
|  LS: AG 6 ; 0.247663556 0.32768
|  LS: AG 7 ; 0.242213917 0.262144
|  LS: AG 8 ; 0.238354308 0.2097152
NL: Newton 5 ; 0.238354308 0.184013559
|  LS: AG 1 ; 0.287816062 1
|  LS: AG 2 ; 0.261920432 0.8
|  LS: AG 3 ; 0.247987931 0.64
|  LS: AG 4 ; 0.240740976 0.512
|  LS: AG 5 ; 0.237155642 0.4096
|  LS: AG 6 ; 0.235549966 0.32768
|  LS: AG 7 ; 0.234997434 0.262144
|  LS: AG 8 ; 0.234987748 0.2097152
NL: Newton 6 ; 0.234987748 0.181414518
|  LS: AG 1 ; 0.223387783 1
|  LS: AG 2 ; 0.21145726 0.8
|  LS: AG 3 ; 0.208244241 0.64
|  LS: AG 4 ; 0.20916975 0.512
NL: Newton 7 ; 0.20916975 0.161482587
NL: Newton 8 ; 0.0686805869 0.0530225755
|  LS: AG 1 ; 0.221135776 1
|  LS: AG 2 ; 0.166626906 0.8
|  LS: AG 3 ; 0.124610082 0.64
|  LS: AG 4 ; 0.092754609 0.512
|  LS: AG 5 ; 0.0695495021 0.4096
|  LS: AG 6 ; 0.0541226402 0.32768
NL: Newton 9 ; 0.0541226402 0.0417835942
|  LS: AG 1 ; 0.163458705 1
|  LS: AG 2 ; 0.139498289 0.8
|  LS: AG 3 ; 0.12048473 0.64
|  LS: AG 4 ; 0.105503982 0.512
|  LS: AG 5 ; 0.0937877605 0.4096
|  LS: AG 6 ; 0.0846894631 0.32768
|  LS: AG 7 ; 0.0776675718 0.262144
|  LS: AG 8 ; 0.0722735836 0.2097152
NL: Newton 10 ; 0.0722735836 0.0557964298
|  LS: AG 1 ; 0.116446189 1
|  LS: AG 2 ; 0.107396281 0.8
|  LS: AG 3 ; 0.100126939 0.64
|  LS: AG 4 ; 0.0943226025 0.512
|  LS: AG 5 ; 0.0897121619 0.4096
|  LS: AG 6 ; 0.0860640301 0.32768
|  LS: AG 7 ; 0.0831840727 0.262144
|  LS: AG 8 ; 0.0809128417 0.2097152
NL: Newton 11 ; 0.0809128417 0.0624660832
|  LS: AG 1 ; 0.0758267477 1
