
==
PG
==
NL: NLBGS 0 ; 2.54950976 1
NL: NLBGS 1 ; 0.177413809 0.069587421
NL: NLBGS 2 ; 0.0172821061 0.00677859971
NL: NLBGS 3 ; 0.00261647829 0.00102626722
NL: NLBGS 4 ; 0.000404544905 0.000158675567
NL: NLBGS 5 ; 6.28606844e-05 2.46559889e-05
NL: NLBGS 6 ; 9.76275634e-06 3.82926809e-06
NL: NLBGS 7 ; 1.5163498e-06 5.94761326e-07
NL: NLBGS 8 ; 2.35520106e-07 9.23785859e-08
NL: NLBGS 9 ; 3.67045662e-08 1.43967153e-08
NL: NLBGS 10 ; 5.67798194e-09 2.22708775e-09
NL: NLBGS 11 ; 8.16735599e-10 3.20350058e-10
NL: NLBGS Converged
