
==
PG
==
NL: Newton 0 ; 6.05353329 1
NL: Newton 1 ; 0.609459111 0.100678246
|  LS: AG 1 ; 3.29499618 1
|  LS: AG 2 ; 2.26345908 0.8
|  LS: AG 3 ; 1.60245274 0.64
|  LS: AG 4 ; 1.18156221 0.512
|  LS: AG 5 ; 0.917876908 0.4096
|  LS: AG 6 ; 0.757655426 0.32768
|  LS: AG 7 ; 0.664738462 0.262144
|  LS: AG 8 ; 0.614163784 0.2097152
NL: Newton 2 ; 0.614163784 0.101455424
|  LS: AG 1 ; 2.54946008 1
|  LS: AG 2 ; 1.83529059 0.8
|  LS: AG 3 ; 1.38792339 0.64
|  LS: AG 4 ; 1.10878541 0.512
|  LS: AG 5 ; 0.934412906 0.4096
|  LS: AG 6 ; 0.824618693 0.32768
|  LS: AG 7 ; 0.754558565 0.262144
|  LS: AG 8 ; 0.70915141 0.2097152
NL: Newton 3 ; 0.70915141 0.117146694
|  LS: AG 1 ; 1.98060875 1
|  LS: AG 2 ; 1.50009736 0.8
|  LS: AG 3 ; 1.20744972 0.64
|  LS: AG 4 ; 1.02945538 0.512
|  LS: AG 5 ; 0.919966222 0.4096
|  LS: AG 6 ; 0.851144898 0.32768
|  LS: AG 7 ; 0.806758018 0.262144
|  LS: AG 8 ; 0.777420322 0.2097152
NL: Newton 4 ; 0.777420322 0.128424225
|  LS: AG 1 ; 1.55646181 1
|  LS: AG 2 ; 1.24004307 0.8
|  LS: AG 3 ; 1.05443815 0.64
|  LS: AG 4 ; 0.945899017 0.512
|  LS: AG 5 ; 0.881698563 0.4096
|  LS: AG 6 ; 0.842961346 0.32768
|  LS: AG 7 ; 0.819094054 0.262144
|  LS: AG 8 ; 0.804131038 0.2097152
NL: Newton 5 ; 0.804131038 0.132836642
|  LS: AG 1 ; 1.24479595 1
|  LS: AG 2 ; 1.03756793 0.8
|  LS: AG 3 ; 0.922840473 0.64
|  LS: AG 4 ; 0.86059842 0.512
|  LS: AG 5 ; 0.8272524 0.4096
|  LS: AG 6 ; 0.809687344 0.32768
|  LS: AG 7 ; 0.800782956 0.262144
|  LS: AG 8 ; 0.79665639 0.2097152
NL: Newton 6 ; 0.79665639 0.131601885
|  LS: AG 1 ; 1.01470945 1
|  LS: AG 2 ; 0.876882902 0.8
|  LS: AG 3 ; 0.807631536 0.64
|  LS: AG 4 ; 0.775645995 0.512
|  LS: AG 5 ; 0.762929361 0.4096
|  LS: AG 6 ; 0.759823659 0.32768
|  LS: AG 7 ; 0.761305536 0.262144
|  LS: AG 8 ; 0.764784721 0.2097152
NL: Newton 7 ; 0.764784721 0.126336915
|  LS: AG 1 ; 0.841072993 1
|  LS: AG 2 ; 0.746129549 0.8
|  LS: AG 3 ; 0.705501351 0.64
|  LS: AG 4 ; 0.692945164 0.512
|  LS: AG 5 ; 0.693684864 0.4096
NL: Newton 8 ; 0.693684864 0.114591732
|  LS: AG 1 ; 0.5878498 1
|  LS: AG 2 ; 0.541530398 0.8
NL: Newton 9 ; 0.541530398 0.0894569125
|  LS: AG 1 ; 0.521675726 1
|  LS: AG 2 ; 0.425407607 0.8
NL: Newton 10 ; 0.425407607 0.0702742658
|  LS: AG 1 ; 0.958225974 1
|  LS: AG 2 ; 0.725105226 0.8
|  LS: AG 3 ; 0.561774747 0.64
|  LS: AG 4 ; 0.452466556 0.512
|  LS: AG 5 ; 0.385912221 0.4096
NL: Newton 11 ; 0.385912221 0.063749913
|  LS: AG 1 ; 1.17132997 1
|  LS: AG 2 ; 0.969260915 0.8
|  LS: AG 3 ; 0.81570892 0.64
|  LS: AG 4 ; 0.699370525 0.512
|  LS: AG 5 ; 0.612073763 0.4096
|  LS: AG 6 ; 0.547484364 0.32768
|  LS: AG 7 ; 0.50045485 0.262144
|  LS: AG 8 ; 0.466738073 0.2097152
NL: Newton 12 ; 0.466738073 0.0771017603
|  LS: AG 1 ; 0.68886855 1
|  LS: AG 2 ; 0.639049106 0.8
|  LS: AG 3 ; 0.601015172 0.64
|  LS: AG 4 ; 0.571006083 0.512
|  LS: AG 5 ; 0.547279654 0.4096
|  LS: AG 6 ; 0.528696237 0.32768
|  LS: AG 7 ; 0.514302383 0.262144
|  LS: AG 8 ; 0.503252982 0.2097152
NL: Newton 13 ; 0.503252982 0.0831337597
NL: Newton 14 ; 0.333134478 0.0550314108
|  LS: AG 1 ; 0.703301039 1
|  LS: AG 2 ; 0.52319903 0.8
|  LS: AG 3 ; 0.377056222 0.64
|  LS: AG 4 ; 0.26106592 0.512
NL: Newton 15 ; 0.26106592 0.0431262054
|  LS: AG 1 ; 0.507901038 1
|  LS: AG 2 ; 0.434859057 0.8
|  LS: AG 3 ; 0.384712255 0.64
|  LS: AG 4 ; 0.349970371 0.512
|  LS: AG 5 ; 0.325678535 0.4096
|  LS: AG 6 ; 0.308529277 0.32768
|  LS: AG 7 ; 0.296298652 0.262144
|  LS: AG 8 ; 0.287482424 0.2097152
NL: Newton 16 ; 0.287482424 0.0474900212
|  LS: AG 1 ; 0.376815845 1
|  LS: AG 2 ; 0.339140011 0.8
|  LS: AG 3 ; 0.316452784 0.64
|  LS: AG 4 ; 0.302976251 0.512
|  LS: AG 5 ; 0.295096408 0.4096
|  LS: AG 6 ; 0.290588722 0.32768
|  LS: AG 7 ; 0.288096554 0.262144
|  LS: AG 8 ; 0.286796492 0.2097152
NL: Newton 17 ; 0.286796492 0.0473767101
NL: Newton 18 ; 0.225067727 0.0371795637
|  LS: AG 1 ; 0.808882023 1
|  LS: AG 2 ; 0.598241086 0.8
|  LS: AG 3 ; 0.438625223 0.64
|  LS: AG 4 ; 0.318416996 0.512
|  LS: AG 5 ; 0.230252507 0.4096
|  LS: AG 6 ; 0.170233462 0.32768
NL: Newton 19 ; 0.170233462 0.0281213391
|  LS: AG 1 ; 0.712959951 1
|  LS: AG 2 ; 0.600469588 0.8
|  LS: AG 3 ; 0.509359418 0.64
|  LS: AG 4 ; 0.435950481 0.512
|  LS: AG 5 ; 0.377242905 0.4096
|  LS: AG 6 ; 0.330695333 0.32768
|  LS: AG 7 ; 0.294120093 0.262144
|  LS: AG 8 ; 0.265629394 0.2097152
NL: Newton 20 ; 0.265629394 0.0438800583
|  LS: AG 1 ; 0.419704366 1
|  LS: AG 2 ; 0.391692942 0.8
|  LS: AG 3 ; 0.36880871 0.64
|  LS: AG 4 ; 0.349678058 0.512
|  LS: AG 5 ; 0.333706455 0.4096
|  LS: AG 6 ; 0.320496123 0.32768
|  LS: AG 7 ; 0.309681521 0.262144
|  LS: AG 8 ; 0.300905193 0.2097152
