
==
PG
==
NL: NLBGS 0 ; 2.91547595 1
NL: NLBGS 1 ; 0.602128204 0.20652827
NL: NLBGS 2 ; 0.270855426 0.0929026445
NL: NLBGS 3 ; 0.21745928 0.0745879176
NL: NLBGS 4 ; 0.131100201 0.0449669978
NL: NLBGS 5 ; 0.0974372155 0.0334206892
NL: NLBGS 6 ; 0.0633484858 0.0217283514
NL: NLBGS 7 ; 0.0453717194 0.0155623714
NL: NLBGS 8 ; 0.0304647109 0.0104493096
NL: NLBGS 9 ; 0.0214091427 0.00734327535
NL: NLBGS 10 ; 0.0145866807 0.0050031902
NL: NLBGS 11 ; 0.0101553012 0.00348323958
NL: NLBGS 12 ; 0.00696632813 0.00238943084
NL: NLBGS 13 ; 0.00482805548 0.00165600937
NL: NLBGS 14 ; 0.00332257797 0.00113963484
NL: NLBGS 15 ; 0.00229772963 0.000788114762
NL: NLBGS 16 ; 0.00158365797 0.000543190203
NL: NLBGS 17 ; 0.00109404091 0.000375252938
NL: NLBGS 18 ; 0.000754587136 0.000258821252
NL: NLBGS 19 ; 0.00052103405 0.000178713205
NL: NLBGS 20 ; 0.000359493504 0.000123305255
NL: NLBGS 21 ; 0.000248167501 8.51207507e-05
NL: NLBGS 22 ; 0.000171253985 5.87396321e-05
NL: NLBGS 23 ; 0.000118207641 4.05448864e-05
NL: NLBGS 24 ; 8.15784629e-05 2.79811819e-05
NL: NLBGS 25 ; 5.63064471e-05 1.9312952e-05
NL: NLBGS 26 ; 3.88600847e-05 1.33288991e-05
NL: NLBGS 27 ; 2.68207933e-05 9.19945622e-06
NL: NLBGS 28 ; 1.85107175e-05 6.34912371e-06
NL: NLBGS 29 ; 1.27757984e-05 4.38206271e-06
NL: NLBGS 30 ; 8.81751672e-06 3.02438328e-06
NL: NLBGS 31 ; 6.08578824e-06 2.08740814e-06
NL: NLBGS 32 ; 4.20034686e-06 1.44070709e-06
NL: NLBGS 33 ; 2.89904772e-06 9.94365164e-07
NL: NLBGS 34 ; 2.00090181e-06 6.86303658e-07
NL: NLBGS 35 ; 1.38105986e-06 4.73699624e-07
NL: NLBGS 36 ; 9.53276273e-07 3.26971064e-07
NL: NLBGS 37 ; 6.57963417e-07 2.2567959e-07
NL: NLBGS 38 ; 4.5407649e-07 1.55746951e-07
NL: NLBGS 39 ; 3.1334302e-07 1.07475769e-07
NL: NLBGS 40 ; 2.1625717e-07 7.41755972e-08
NL: NLBGS 41 ; 1.49243113e-07 5.11899654e-08
NL: NLBGS 42 ; 1.02953291e-07 3.53126875e-08
NL: NLBGS 43 ; 7.09647691e-08 2.4340715e-08
NL: NLBGS 44 ; 4.88726144e-08 1.67631684e-08
NL: NLBGS 45 ; 3.37144135e-08 1.15639484e-08
NL: NLBGS 46 ; 2.32327066e-08 7.96875264e-09
NL: NLBGS 47 ; 1.60274178e-08 5.49735894e-09
NL: NLBGS 48 ; 1.11265522e-08 3.81637591e-09
NL: NLBGS 49 ; 7.5462823e-09 2.58835347e-09
NL: NLBGS 50 ; 5.21287459e-09 1.78800123e-09
NL: NLBGS Converged
