
==
PG
==
NL: NLBGS 0 ; 2.91547595 1
NL: NLBGS 1 ; 0.288914085 0.0990967136
NL: NLBGS 2 ; 0.0831644732 0.028525179
NL: NLBGS 3 ; 0.0338581078 0.0116132352
NL: NLBGS 4 ; 0.013393429 0.00459390826
NL: NLBGS 5 ; 0.00539845176 0.00185165368
NL: NLBGS 6 ; 0.00216146873 0.000741377659
NL: NLBGS 7 ; 0.000867866709 0.000297675825
NL: NLBGS 8 ; 0.000348077965 0.000119389757
NL: NLBGS 9 ; 0.000139667254 4.7905473e-05
NL: NLBGS 10 ; 5.60318982e-05 1.92187825e-05
NL: NLBGS 11 ; 2.24806077e-05 7.71078483e-06
NL: NLBGS 12 ; 9.01933411e-06 3.09360608e-06
NL: NLBGS 13 ; 3.61877714e-06 1.24123032e-06
NL: NLBGS 14 ; 1.45205512e-06 4.98050799e-07
NL: NLBGS 15 ; 5.82726467e-07 1.99873529e-07
NL: NLBGS 16 ; 2.33882042e-07 8.02208785e-08
NL: NLBGS 17 ; 9.39035624e-08 3.22086562e-08
NL: NLBGS 18 ; 3.75645897e-08 1.2884548e-08
NL: NLBGS 19 ; 1.47955126e-08 5.07481896e-09
NL: NLBGS 20 ; 5.76212422e-09 1.9763923e-09
NL: NLBGS Converged
