
==
PG
==
NL: Newton 0 ; 0.602128204 1
NL: Newton 1 ; 0.0431883995 0.0717262523
NL: Newton 2 ; 0.26867502 0.446208995
NL: Newton 3 ; 0.0231471622 0.0384422488
NL: Newton 4 ; 0.21563987 0.358129496
NL: Newton 5 ; 0.0142774424 0.023711632
NL: Newton 6 ; 0.129997521 0.215896748
NL: Newton 7 ; 0.00870759569 0.0144613649
NL: Newton 8 ; 0.0966775241 0.160559701
NL: Newton 9 ; 0.00603914423 0.0100296651
NL: Newton 10 ; 0.0628110425 0.104315065
NL: Newton 11 ; 0.00399985626 0.00664286482
NL: Newton 12 ; 0.0450073716 0.0747471574
NL: Newton 13 ; 0.00278520356 0.00462559891
NL: Newton 14 ; 0.03020896 0.0501703122
NL: Newton 15 ; 0.00189408415 0.00314564928
NL: Newton 16 ; 0.0212345278 0.0352657918
NL: Newton 17 ; 0.00131493639 0.00218381465
NL: Newton 18 ; 0.0144651574 0.0240233846
NL: Newton 19 ; 0.000902077298 0.00149814822
NL: Newton 20 ; 0.010071887 0.0167271471
NL: Newton 21 ; 0.000624584176 0.00103729434
NL: Newton 22 ; 0.00690852923 0.0114735188
NL: Newton 23 ; 0.000429928897 0.000714015544
NL: Newton 24 ; 0.00478827018 0.00795224364
NL: Newton 25 ; 0.000297206861 0.000493593987
NL: Newton 26 ; 0.00329506748 0.0054723686
NL: Newton 27 ; 0.000204875494 0.00034025228
NL: Newton 28 ; 0.00227876677 0.0037845209
NL: Newton 29 ; 0.000141512349 0.000235020297
NL: Newton 30 ; 0.00157055859 0.00260834584
NL: Newton 31 ; 9.76129606e-05 0.000162113251
NL: Newton 32 ; 0.00108500554 0.00180195104
NL: Newton 33 ; 6.73960035e-05 0.000111929657
NL: Newton 34 ; 0.000748348607 0.00124283932
NL: Newton 35 ; 4.65026853e-05 7.72305382e-05
NL: Newton 36 ; 0.000516729648 0.000858172139
NL: Newton 37 ; 3.21009751e-05 5.33125254e-05
NL: Newton 38 ; 0.000356522104 0.000592103312
NL: Newton 39 ; 2.21525427e-05 3.67904087e-05
NL: Newton 40 ; 0.000246117106 0.000408745355
NL: Newton 41 ; 1.52905209e-05 2.53941284e-05
NL: Newton 42 ; 0.000169838799 0.000282064182
NL: Newton 43 ; 1.05525292e-05 1.75253861e-05
NL: Newton 44 ; 0.000117231051 0.000194694502
NL: Newton 45 ; 7.28341192e-06 1.20961149e-05
NL: Newton 46 ; 8.09043534e-05 0.000134363999
NL: Newton 47 ; 5.0266964e-06 8.34821616e-06
NL: Newton 48 ; 5.58411132e-05 9.27395742e-05
NL: Newton 49 ; 3.46937423e-06 5.76185306e-06
NL: Newton 50 ; 3.85389258e-05 6.40045186e-05
NL: Newton 51 ; 2.39444714e-06 3.97664007e-06
NL: Newton 52 ; 2.65992704e-05 4.41754269e-05
NL: Newton 53 ; 1.65261653e-06 2.74462568e-06
NL: Newton 54 ; 1.83579237e-05 3.0488397e-05
NL: Newton 55 ; 1.14059486e-06 1.89427244e-06
NL: Newton 56 ; 1.26704022e-05 2.10426984e-05
NL: Newton 57 ; 7.87211312e-07 1.30738156e-06
NL: Newton 58 ; 8.74476041e-06 1.45230872e-05
NL: Newton 59 ; 5.43310219e-07 9.02316509e-07
NL: Newton 60 ; 6.03554572e-06 1.00236888e-05
NL: Newton 61 ; 3.74969982e-07 6.22741104e-07
NL: Newton 62 ; 4.16554552e-06 6.91803754e-06
NL: Newton 63 ; 2.58789272e-07 4.29790983e-07
NL: Newton 64 ; 2.87499319e-06 4.77471936e-06
NL: Newton 65 ; 1.78607254e-07 2.9662662e-07
NL: Newton 66 ; 1.98424784e-06 3.29539096e-06
NL: Newton 67 ; 1.23275316e-07 2.04732672e-07
NL: Newton 68 ; 1.36948628e-06 2.27440979e-06
NL: Newton 69 ; 8.5087602e-08 1.41311437e-07
NL: Newton 70 ; 9.45180704e-07 1.56973332e-06
NL: Newton 71 ; 5.87239785e-08 9.75273674e-08
NL: Newton 72 ; 6.52340616e-07 1.08339156e-06
NL: Newton 73 ; 4.05231518e-08 6.72998733e-08
NL: Newton 74 ; 4.5020339e-07 7.47686934e-07
NL: Newton 75 ; 2.79828544e-08 4.64732498e-08
NL: Newton 76 ; 3.10739388e-07 5.16068481e-07
NL: Newton 77 ; 1.93408347e-08 3.21207918e-08
NL: Newton 78 ; 2.14478239e-07 3.56200287e-07
NL: Newton 79 ; 1.33580375e-08 2.21847066e-08
NL: Newton 80 ; 1.48124828e-07 2.46002142e-07
NL: Newton 81 ; 9.20515618e-09 1.52877014e-08
NL: Newton 82 ; 1.02310679e-07 1.69915108e-07
NL: Newton 83 ; 6.36289696e-09 1.05673458e-08
NL: Newton 84 ; 7.06407413e-08 1.1731844e-07
NL: Newton 85 ; 4.48560584e-09 7.449586e-09
NL: Newton Converged
