
==
PG
==
NL: Newton 0 ; 0.0604769825 1
NL: Newton 1 ; 0.000882956713 0.0145998804
|  LS: AG 1 ; 0.00190374728 1
|  LS: AG 2 ; 0.00153321411 0.8
|  LS: AG 3 ; 0.00125919681 0.64
|  LS: AG 4 ; 0.00106572746 0.512
|  LS: AG 5 ; 0.000937992538 0.4096
|  LS: AG 6 ; 0.000861144007 0.32768
|  LS: AG 7 ; 0.000820681265 0.262144
NL: Newton 2 ; 0.000820681265 0.0135701424
|  LS: AG 1 ; 0.00140456209 1
|  LS: AG 2 ; 0.00123010064 0.8
|  LS: AG 3 ; 0.00110332972 0.64
|  LS: AG 4 ; 0.00101327033 0.512
|  LS: AG 5 ; 0.000950623108 0.4096
|  LS: AG 6 ; 0.000907809007 0.32768
|  LS: AG 7 ; 0.000878939363 0.262144
|  LS: AG 8 ; 0.000859647697 0.2097152
NL: Newton 3 ; 0.000859647697 0.0142144608
|  LS: AG 1 ; 0.00110575716 1
|  LS: AG 2 ; 0.0010271828 0.8
|  LS: AG 3 ; 0.000972896233 0.64
|  LS: AG 4 ; 0.000935942499 0.512
|  LS: AG 5 ; 0.000911046948 0.4096
|  LS: AG 6 ; 0.000894376721 0.32768
|  LS: AG 7 ; 0.000883240392 0.262144
|  LS: AG 8 ; 0.000875795095 0.2097152
NL: Newton 4 ; 0.000875795095 0.0144814615
|  LS: AG 1 ; 0.000868061963 1
|  LS: AG 2 ; 0.000853175236 0.8
|  LS: AG 3 ; 0.000847114019 0.64
|  LS: AG 4 ; 0.000846098229 0.512
|  LS: AG 5 ; 0.000847751537 0.4096
|  LS: AG 6 ; 0.000850644608 0.32768
|  LS: AG 7 ; 0.000853954408 0.262144
|  LS: AG 8 ; 0.000857232039 0.2097152
NL: Newton 5 ; 0.000857232039 0.0141745174
NL: Newton 6 ; 0.000679523683 0.0112360712
NL: Newton 7 ; 3.75558228e-05 0.000620993661
|  LS: AG 1 ; 3.15223268e-05 1
|  LS: AG 2 ; 3.26536928e-05 0.8
|  LS: AG 3 ; 3.35889681e-05 0.64
|  LS: AG 4 ; 3.43549073e-05 0.512
|  LS: AG 5 ; 3.49782435e-05 0.4096
|  LS: AG 6 ; 3.54833248e-05 0.32768
|  LS: AG 7 ; 3.58913178e-05 0.262144
|  LS: AG 8 ; 3.622014e-05 0.2097152
NL: Newton 8 ; 3.622014e-05 0.000598907856
NL: Newton 9 ; 2.45399089e-05 0.000405772706
NL: Newton 10 ; 1.76999577e-06 2.92672632e-05
NL: Newton 11 ; 1.18887698e-06 1.96583383e-05
NL: Newton 12 ; 8.77049067e-08 1.45021962e-06
NL: Newton 13 ; 5.90632298e-08 9.76623294e-07
NL: Newton 14 ; 4.33514067e-09 7.16824896e-08
NL: Newton Converged
