
==
PG
==
NL: Newton 0 ; 0.288914085 1
NL: Newton 1 ; 0.0155540015 0.0538360792
NL: Newton 2 ; 0.0827734228 0.286498399
NL: Newton 3 ; 0.00350715291 0.012139086
NL: Newton 4 ; 0.033811707 0.117030317
NL: Newton 5 ; 0.00142671018 0.00493818147
NL: Newton 6 ; 0.0133695859 0.0462752999
NL: Newton 7 ; 0.000549056141 0.0019004132
NL: Newton 8 ; 0.0053900115 0.018656105
NL: Newton 9 ; 0.000223472236 0.00077349028
NL: Newton 10 ; 0.00215792624 0.00746909323
NL: Newton 11 ; 8.90918426e-05 0.000308367945
NL: Newton 12 ; 0.000866472192 0.00299906525
NL: Newton 13 ; 3.58316104e-05 0.000124021681
NL: Newton 14 ; 0.000347514338 0.00120282934
NL: Newton 15 ; 1.43613459e-05 4.97080158e-05
NL: Newton 16 ; 0.000139441952 0.000482641584
NL: Newton 17 ; 5.76409714e-06 1.99509039e-05
NL: Newton 18 ; 5.59412963e-05 0.000193626061
NL: Newton 19 ; 2.31219185e-06 8.003043e-06
NL: Newton 20 ; 2.24442979e-05 7.76850248e-05
NL: Newton 21 ; 9.27713829e-07 3.21103704e-06
NL: Newton 22 ; 9.00454025e-06 3.11668441e-05
NL: Newton 23 ; 3.72180544e-07 1.28820492e-06
NL: Newton 24 ; 3.61264955e-06 1.25042348e-05
NL: Newton 25 ; 1.49320567e-07 5.16833808e-07
NL: Newton 26 ; 1.44942275e-06 5.01679503e-06
NL: Newton 27 ; 5.99074478e-08 2.0735385e-07
NL: Newton 28 ; 5.81468221e-07 2.01259908e-06
NL: Newton 29 ; 2.4036841e-08 8.31971934e-08
NL: Newton 30 ; 2.3336683e-07 8.07737811e-07
NL: Newton 31 ; 9.65403916e-09 3.34149135e-08
NL: Newton 32 ; 9.36303491e-08 3.2407679e-07
NL: Newton 33 ; 3.90716101e-09 1.35236086e-08
NL: Newton Converged
