
==
PG
==
NL: Newton 0 ; 0.0289249865 1
NL: Newton 1 ; 0.000204382299 0.00706594279
|  LS: AG 1 ; 0.000366073913 1
|  LS: AG 2 ; 0.00029569856 0.8
|  LS: AG 3 ; 0.000245569816 0.64
|  LS: AG 4 ; 0.000212315826 0.512
|  LS: AG 5 ; 0.000192468138 0.4096
|  LS: AG 6 ; 0.00018240334 0.32768
NL: Newton 2 ; 0.00018240334 0.00630608211
|  LS: AG 1 ; 0.000246116361 1
|  LS: AG 2 ; 0.000222562316 0.8
|  LS: AG 3 ; 0.000206666093 0.64
|  LS: AG 4 ; 0.000196310306 0.512
|  LS: AG 5 ; 0.000189794273 0.4096
|  LS: AG 6 ; 0.000185837748 0.32768
|  LS: AG 7 ; 0.000183531123 0.262144
|  LS: AG 8 ; 0.000182257332 0.2097152
NL: Newton 3 ; 0.000182257332 0.00630103431
|  LS: AG 1 ; 0.000194246939 1
|  LS: AG 2 ; 0.000185922704 0.8
|  LS: AG 3 ; 0.000181245066 0.64
|  LS: AG 4 ; 0.000178876788 0.512
|  LS: AG 5 ; 0.000177899211 0.4096
|  LS: AG 6 ; 0.000177714839 0.32768
|  LS: AG 7 ; 0.000177951468 0.262144
|  LS: AG 8 ; 0.000178385782 0.2097152
NL: Newton 4 ; 0.000178385782 0.00616718637
|  LS: AG 1 ; 0.000153200506 1
|  LS: AG 2 ; 0.000154771854 0.8
|  LS: AG 3 ; 0.00015738021 0.64
|  LS: AG 4 ; 0.000160291026 0.512
|  LS: AG 5 ; 0.000163119235 0.4096
NL: Newton 5 ; 0.000163119235 0.00563938847
NL: Newton 6 ; 8.98093135e-05 0.00310490425
NL: Newton 7 ; 2.60415601e-06 9.0031365e-05
NL: Newton 8 ; 1.49486412e-06 5.16807198e-05
NL: Newton 9 ; 4.34633696e-08 1.50262368e-06
NL: Newton 10 ; 2.44787663e-08 8.46284451e-07
NL: Newton 11 ; 8.4078549e-10 2.9067792e-08
NL: Newton Converged
