
==
PG
==
NL: NLBGS 0 ; 2.12132034 1
NL: NLBGS 1 ; 0.271812039 0.128133424
NL: NLBGS 2 ; 0.0265296598 0.0125062016
NL: NLBGS 3 ; 0.00412149678 0.00194289221
NL: NLBGS 4 ; 0.000638085698 0.000300796482
NL: NLBGS 5 ; 9.97932678e-05 4.70429976e-05
NL: NLBGS 6 ; 1.55871208e-05 7.34783923e-06
NL: NLBGS 7 ; 2.43508227e-06 1.14790879e-06
NL: NLBGS 8 ; 3.80375543e-07 1.7931075e-07
NL: NLBGS 9 ; 5.94088187e-08 2.80055857e-08
NL: NLBGS 10 ; 9.2453707e-09 4.35830954e-09
NL: NLBGS 11 ; 1.2573961e-09 5.92742208e-10
NL: NLBGS Converged
