
==
PG
==
NL: Newton 0 ; 5.44074773 1
NL: Newton 1 ; 0.53657719 0.0986219573
|  LS: AG 1 ; 2.8506886 1
|  LS: AG 2 ; 1.97796172 0.8
|  LS: AG 3 ; 1.41578463 0.64
|  LS: AG 4 ; 1.05465358 0.512
|  LS: AG 5 ; 0.825230587 0.4096
|  LS: AG 6 ; 0.682935477 0.32768
|  LS: AG 7 ; 0.598071702 0.262144
|  LS: AG 8 ; 0.55016862 0.2097152
NL: Newton 2 ; 0.55016862 0.101120038
|  LS: AG 1 ; 2.20666538 1
|  LS: AG 2 ; 1.61019192 0.8
|  LS: AG 3 ; 1.23446534 0.64
|  LS: AG 4 ; 0.997537828 0.512
|  LS: AG 5 ; 0.847104757 0.4096
|  LS: AG 6 ; 0.750379856 0.32768
|  LS: AG 7 ; 0.687193618 0.262144
|  LS: AG 8 ; 0.645242903 0.2097152
NL: Newton 3 ; 0.645242903 0.118594527
|  LS: AG 1 ; 1.72113652 1
|  LS: AG 2 ; 1.32433981 0.8
|  LS: AG 3 ; 1.08130006 0.64
|  LS: AG 4 ; 0.931755917 0.512
|  LS: AG 5 ; 0.838191379 0.4096
|  LS: AG 6 ; 0.778179362 0.32768
|  LS: AG 7 ; 0.738644156 0.262144
|  LS: AG 8 ; 0.711958619 0.2097152
NL: Newton 4 ; 0.711958619 0.13085676
|  LS: AG 1 ; 1.36274947 1
|  LS: AG 2 ; 1.10288263 0.8
|  LS: AG 3 ; 0.949893829 0.64
|  LS: AG 4 ; 0.859628513 0.512
|  LS: AG 5 ; 0.805523403 0.4096
|  LS: AG 6 ; 0.772348228 0.32768
|  LS: AG 7 ; 0.751537489 0.262144
|  LS: AG 8 ; 0.738229089 0.2097152
NL: Newton 5 ; 0.738229089 0.135685227
|  LS: AG 1 ; 1.09976246 1
|  LS: AG 2 ; 0.929013428 0.8
|  LS: AG 3 ; 0.834819668 0.64
|  LS: AG 4 ; 0.783829752 0.512
|  LS: AG 5 ; 0.756565692 0.4096
|  LS: AG 6 ; 0.742250729 0.32768
|  LS: AG 7 ; 0.735038689 0.262144
|  LS: AG 8 ; 0.731738766 0.2097152
NL: Newton 6 ; 0.731738766 0.134492316
|  LS: AG 1 ; 0.90362632 1
|  LS: AG 2 ; 0.788797651 0.8
|  LS: AG 3 ; 0.732153377 0.64
|  LS: AG 4 ; 0.706842189 0.512
|  LS: AG 5 ; 0.697547212 0.4096
|  LS: AG 6 ; 0.696107217 0.32768
|  LS: AG 7 ; 0.698309128 0.262144
|  LS: AG 8 ; 0.702002525 0.2097152
NL: Newton 7 ; 0.702002525 0.129026847
|  LS: AG 1 ; 0.753238722 1
|  LS: AG 2 ; 0.672821093 0.8
|  LS: AG 3 ; 0.639816214 0.64
|  LS: AG 4 ; 0.63101166 0.512
|  LS: AG 5 ; 0.633428692 0.4096
NL: Newton 8 ; 0.633428692 0.116423095
|  LS: AG 1 ; 0.531530136 1
|  LS: AG 2 ; 0.489392035 0.8
NL: Newton 9 ; 0.489392035 0.0899494076
|  LS: AG 1 ; 0.468441895 1
|  LS: AG 2 ; 0.380532729 0.8
NL: Newton 10 ; 0.380532729 0.0699412558
|  LS: AG 1 ; 0.99354345 1
|  LS: AG 2 ; 0.746462235 0.8
|  LS: AG 3 ; 0.569700879 0.64
|  LS: AG 4 ; 0.447049247 0.512
|  LS: AG 5 ; 0.367715956 0.4096
|  LS: AG 6 ; 0.3227928 0.32768
NL: Newton 11 ; 0.3227928 0.059328757
|  LS: AG 1 ; 0.985114003 1
|  LS: AG 2 ; 0.816560342 0.8
|  LS: AG 3 ; 0.687716333 0.64
|  LS: AG 4 ; 0.589719618 0.512
|  LS: AG 5 ; 0.515979911 0.4096
|  LS: AG 6 ; 0.461288692 0.32768
|  LS: AG 7 ; 0.421366574 0.262144
|  LS: AG 8 ; 0.392663856 0.2097152
NL: Newton 12 ; 0.392663856 0.072170936
|  LS: AG 1 ; 0.590506443 1
|  LS: AG 2 ; 0.545568246 0.8
|  LS: AG 3 ; 0.511088845 0.64
