
==
PG
==
NL: Newton 0 ; 0.131445424 1
NL: Newton 1 ; 0.00395250148 0.0300695251
NL: Newton 2 ; 0.0130054829 0.0989420741
NL: Newton 3 ; 0.000273525712 0.00208090706
NL: Newton 4 ; 0.00197235388 0.0150051163
NL: Newton 5 ; 4.79363819e-05 0.000364686578
NL: Newton 6 ; 0.00030436848 0.00231555021
NL: Newton 7 ; 7.35006089e-06 5.59172063e-05
NL: Newton 8 ; 4.72505904e-05 0.000359469268
NL: Newton 9 ; 1.14304237e-06 8.69594645e-06
NL: Newton 10 ; 7.33107914e-06 5.57727984e-05
NL: Newton 11 ; 1.77317839e-07 1.34898449e-06
NL: Newton 12 ; 1.13749206e-06 8.65372127e-06
NL: Newton 13 ; 2.75175535e-08 2.09345846e-07
NL: Newton 14 ; 1.7654753e-07 1.3431242e-06
NL: Newton 15 ; 4.27554127e-09 3.25271214e-08
NL: Newton Converged
