
==
PG
==
NL: Newton 0 ; 0.271812039 1
NL: Newton 1 ; 0.00783693889 0.0288321993
|  LS: AG 1 ; 0.0265079652 1
|  LS: AG 2 ; 0.0212651438 0.8
|  LS: AG 3 ; 0.01719941 0.64
|  LS: AG 4 ; 0.0141020207 0.512
|  LS: AG 5 ; 0.0118037224 0.4096
|  LS: AG 6 ; 0.0101603526 0.32768
|  LS: AG 7 ; 0.00904105091 0.262144
|  LS: AG 8 ; 0.00832303772 0.2097152
NL: Newton 2 ; 0.00832303772 0.0306205632
|  LS: AG 1 ; 0.0209515078 1
|  LS: AG 2 ; 0.0179116027 0.8
|  LS: AG 3 ; 0.0155632502 0.64
|  LS: AG 4 ; 0.0137662038 0.512
|  LS: AG 5 ; 0.0124041397 0.4096
|  LS: AG 6 ; 0.0113806871 0.32768
|  LS: AG 7 ; 0.0106168729 0.262144
|  LS: AG 8 ; 0.0100492226 0.2097152
NL: Newton 3 ; 0.0100492226 0.0369712195
|  LS: AG 1 ; 0.0163837924 1
|  LS: AG 2 ; 0.0148893113 0.8
|  LS: AG 3 ; 0.0137501294 0.64
|  LS: AG 4 ; 0.0128847627 0.512
|  LS: AG 5 ; 0.0122283385 0.4096
|  LS: AG 6 ; 0.0117301277 0.32768
|  LS: AG 7 ; 0.0113511309 0.262144
|  LS: AG 8 ; 0.0110617851 0.2097152
NL: Newton 4 ; 0.0110617851 0.0406964499
|  LS: AG 1 ; 0.012672498 1
|  LS: AG 2 ; 0.0122295135 0.8
|  LS: AG 3 ; 0.0119144287 0.64
|  LS: AG 4 ; 0.0116896256 0.512
|  LS: AG 5 ; 0.0115282961 0.4096
|  LS: AG 6 ; 0.0114116063 0.32768
|  LS: AG 7 ; 0.0113264303 0.262144
|  LS: AG 8 ; 0.0112636468 0.2097152
NL: Newton 5 ; 0.0112636468 0.041439102
|  LS: AG 1 ; 0.00969057942 1
|  LS: AG 2 ; 0.00993360019 0.8
|  LS: AG 3 ; 0.0101562263 0.64
|  LS: AG 4 ; 0.0103511873 0.512
|  LS: AG 5 ; 0.0105173324 0.4096
|  LS: AG 6 ; 0.01065645 0.32768
|  LS: AG 7 ; 0.0107715559 0.262144
|  LS: AG 8 ; 0.0108660013 0.2097152
NL: Newton 6 ; 0.0108660013 0.0399761591
NL: Newton 7 ; 0.00732078029 0.0269332451
NL: Newton 8 ; 0.00165964737 0.00610586409
NL: Newton 9 ; 0.00111901991 0.00411688869
NL: Newton 10 ; 0.000257341064 0.000946761095
NL: Newton 11 ; 0.000173516927 0.000638371013
NL: Newton 12 ; 4.02474054e-05 0.000148070724
NL: Newton 13 ; 2.71256855e-05 9.97957468e-05
NL: Newton 14 ; 6.28640229e-06 2.31277551e-05
NL: Newton 15 ; 4.2373147e-06 1.55891355e-05
NL: Newton 16 ; 9.82174268e-07 3.6134318e-06
NL: Newton 17 ; 6.61897776e-07 2.43513046e-06
NL: Newton 18 ; 1.53430071e-07 5.64471212e-07
NL: Newton 19 ; 1.03420426e-07 3.80485082e-07
NL: Newton 20 ; 2.39672055e-08 8.81756581e-08
NL: Newton 21 ; 1.609789e-08 5.92243449e-08
NL: Newton 22 ; 3.73362803e-09 1.37360657e-08
NL: Newton 23 ; 2.46670105e-09 9.07502501e-09
NL: Newton Converged
