
==
PG
==
NL: Newton 0 ; 0.104627595 1
NL: Newton 1 ; 0.00316543142 0.0302542692
|  LS: AG 1 ; 0.0103794333 1
|  LS: AG 2 ; 0.00832801785 0.8
|  LS: AG 3 ; 0.00674040191 0.64
|  LS: AG 4 ; 0.00553478621 0.512
|  LS: AG 5 ; 0.0046445688 0.4096
|  LS: AG 6 ; 0.00401252651 0.32768
|  LS: AG 7 ; 0.00358621962 0.262144
|  LS: AG 8 ; 0.00331629059 0.2097152
NL: Newton 2 ; 0.00331629059 0.0316961371
|  LS: AG 1 ; 0.00820427366 1
|  LS: AG 2 ; 0.00701475655 0.8
|  LS: AG 3 ; 0.00609797181 0.64
|  LS: AG 4 ; 0.00539850762 0.512
|  LS: AG 5 ; 0.00487029167 0.4096
|  LS: AG 6 ; 0.00447508324 0.32768
|  LS: AG 7 ; 0.00418152933 0.262144
|  LS: AG 8 ; 0.00396446061 0.2097152
NL: Newton 3 ; 0.00396446061 0.0378911568
|  LS: AG 1 ; 0.00641750793 1
|  LS: AG 2 ; 0.00583241773 0.8
|  LS: AG 3 ; 0.00538786011 0.64
|  LS: AG 4 ; 0.0050513611 0.512
|  LS: AG 5 ; 0.00479707412 0.4096
|  LS: AG 6 ; 0.0046048173 0.32768
|  LS: AG 7 ; 0.00445911483 0.262144
|  LS: AG 8 ; 0.0043482753 0.2097152
NL: Newton 4 ; 0.0043482753 0.0415595456
|  LS: AG 1 ; 0.00496647524 1
|  LS: AG 2 ; 0.00479253232 0.8
|  LS: AG 3 ; 0.00466976132 0.64
|  LS: AG 4 ; 0.00458290554 0.512
|  LS: AG 5 ; 0.00452112899 0.4096
|  LS: AG 6 ; 0.00447685454 0.32768
|  LS: AG 7 ; 0.00444483219 0.262144
|  LS: AG 8 ; 0.00442143819 0.2097152
NL: Newton 5 ; 0.00442143819 0.0422588151
|  LS: AG 1 ; 0.00380091588 1
|  LS: AG 2 ; 0.00389519298 0.8
|  LS: AG 3 ; 0.00398236515 0.64
|  LS: AG 4 ; 0.00405912952 0.512
|  LS: AG 5 ; 0.00412478227 0.4096
|  LS: AG 6 ; 0.00417988866 0.32768
|  LS: AG 7 ; 0.00422556182 0.262144
|  LS: AG 8 ; 0.00426308349 0.2097152
NL: Newton 6 ; 0.00426308349 0.0407453072
NL: Newton 7 ; 0.00287463676 0.0274749387
NL: Newton 8 ; 0.000633646933 0.00605621236
NL: Newton 9 ; 0.000427201334 0.0040830656
NL: Newton 10 ; 9.78782416e-05 0.000935491652
NL: Newton 11 ; 6.59733326e-05 0.000630553849
NL: Newton 12 ; 1.51906208e-05 0.000145187517
NL: Newton 13 ; 1.02359007e-05 9.78317498e-05
NL: Newton 14 ; 2.35627574e-06 2.25205955e-05
NL: Newton 15 ; 1.58773551e-06 1.51751124e-05
NL: Newton 16 ; 3.65411919e-07 3.49250042e-06
NL: Newton 17 ; 2.46335287e-07 2.35440074e-06
NL: Newton 18 ; 5.67267664e-08 5.42177869e-07
NL: Newton 19 ; 3.82097974e-08 3.65198086e-07
NL: Newton 20 ; 8.82867441e-09 8.4381892e-08
NL: Newton 21 ; 5.92356007e-09 5.66156575e-08
NL: Newton Converged
