
==
PG
==
NL: Newton 0 ; 0.288914085 1
NL: Newton 1 ; 0.0155540015 0.0538360792
|  LS: AG 1 ; 0.0827734228 1
|  LS: AG 2 ; 0.0663040386 0.8
|  LS: AG 3 ; 0.0532879252 0.64
|  LS: AG 4 ; 0.0430736888 0.512
|  LS: AG 5 ; 0.0351441341 0.4096
|  LS: AG 6 ; 0.0290856688 0.32768
|  LS: AG 7 ; 0.0245604072 0.262144
|  LS: AG 8 ; 0.0212811814 0.2097152
NL: Newton 2 ; 0.0212811814 0.0736592035
|  LS: AG 1 ; 0.0663183192 1
|  LS: AG 2 ; 0.0564448705 0.8
|  LS: AG 3 ; 0.0486974148 0.64
|  LS: AG 4 ; 0.0426334806 0.512
|  LS: AG 5 ; 0.0379009231 0.4096
|  LS: AG 6 ; 0.0342178729 0.32768
|  LS: AG 7 ; 0.0313583193 0.262144
|  LS: AG 8 ; 0.0291415201 0.2097152
NL: Newton 3 ; 0.0291415201 0.100865696
|  LS: AG 1 ; 0.0515970131 1
|  LS: AG 2 ; 0.0466393087 0.8
|  LS: AG 3 ; 0.0428066677 0.64
|  LS: AG 4 ; 0.0398379002 0.512
|  LS: AG 5 ; 0.0375336375 0.4096
|  LS: AG 6 ; 0.0357411259 0.32768
|  LS: AG 7 ; 0.0343432337 0.262144
|  LS: AG 8 ; 0.0332501745 0.2097152
NL: Newton 4 ; 0.0332501745 0.115086721
|  LS: AG 1 ; 0.0389025537 1
|  LS: AG 2 ; 0.0374617894 0.8
|  LS: AG 3 ; 0.0364204992 0.64
|  LS: AG 4 ; 0.0356585657 0.512
|  LS: AG 5 ; 0.0350946324 0.4096
|  LS: AG 6 ; 0.0346728192 0.32768
|  LS: AG 7 ; 0.034354251 0.262144
|  LS: AG 8 ; 0.0341115526 0.2097152
NL: Newton 5 ; 0.0341115526 0.118068154
|  LS: AG 1 ; 0.0283155959 1
|  LS: AG 2 ; 0.029257196 0.8
|  LS: AG 3 ; 0.030100267 0.64
|  LS: AG 4 ; 0.0308258367 0.512
|  LS: AG 5 ; 0.0314362073 0.4096
|  LS: AG 6 ; 0.0319424017 0.32768
|  LS: AG 7 ; 0.0323582467 0.262144
|  LS: AG 8 ; 0.0326976315 0.2097152
NL: Newton 6 ; 0.0326976315 0.113174238
NL: Newton 7 ; 0.0197621491 0.0684014736
NL: Newton 8 ; 0.0129925194 0.0449701835
NL: Newton 9 ; 0.00777729253 0.0269190494
NL: Newton 10 ; 0.00518058433 0.017931228
NL: Newton 11 ; 0.00310753633 0.0107559184
NL: Newton 12 ; 0.00208211955 0.00720670837
NL: Newton 13 ; 0.00124782371 0.00431901307
NL: Newton 14 ; 0.000834656004 0.0028889419
NL: Newton 15 ; 0.000500402109 0.00173201009
NL: Newton 16 ; 0.000334969914 0.00115941012
NL: Newton 17 ; 0.000200795103 0.000694999356
NL: Newton 18 ; 0.00013437312 0.000465097158
NL: Newton 19 ; 8.05538526e-05 0.000278815942
NL: Newton 20 ; 5.39135359e-05 0.000186607503
NL: Newton 21 ; 3.23191183e-05 0.000111864115
NL: Newton 22 ; 2.1629698e-05 7.48655019e-05
NL: Newton 23 ; 1.29663076e-05 4.48794581e-05
NL: Newton 24 ; 8.67792041e-06 3.00363356e-05
NL: Newton 25 ; 5.20199467e-06 1.80053343e-05
NL: Newton 26 ; 3.48148551e-06 1.2050245e-05
NL: Newton 27 ; 2.08694525e-06 7.22341123e-06
NL: Newton 28 ; 1.39676384e-06 4.83453009e-06
NL: Newton 29 ; 8.37162761e-07 2.89761838e-06
NL: Newton 30 ; 5.6045188e-07 1.93985655e-06
NL: Newton 31 ; 3.35763684e-07 1.16215755e-06
NL: Newton 32 ; 2.24848617e-07 7.7825426e-07
NL: Newton 33 ; 1.34751233e-07 4.66405898e-07
NL: Newton 34 ; 9.01970841e-08 3.12193447e-07
NL: Newton 35 ; 5.41137736e-08 1.87300573e-07
NL: Newton 36 ; 3.6191618e-08 1.25267752e-07
NL: Newton 37 ; 2.18428511e-08 7.56032752e-08
NL: Newton 38 ; 1.46082183e-08 5.05624996e-08
NL: Newton 39 ; 8.93636574e-09 3.0930876e-08
NL: Newton 40 ; 6.00918891e-09 2.07992245e-08
NL: Newton 41 ; 3.66014738e-09 1.2668636e-08
NL: Newton Converged
