
==
PG
==
NL: Newton 0 ; 0.0131478511 1
NL: Newton 1 ; 4.23478605e-05 0.00322089595
|  LS: AG 1 ; 7.16217337e-05 1
|  LS: AG 2 ; 5.79199992e-05 0.8
|  LS: AG 3 ; 4.83066601e-05 0.64
|  LS: AG 4 ; 4.20926181e-05 0.512
|  LS: AG 5 ; 3.85451261e-05 0.4096
NL: Newton 2 ; 3.85451261e-05 0.00293166737
|  LS: AG 1 ; 4.22855006e-05 1
|  LS: AG 2 ; 4.00079678e-05 0.8
|  LS: AG 3 ; 3.86833504e-05 0.64
|  LS: AG 4 ; 3.7977153e-05 0.512
|  LS: AG 5 ; 3.76520257e-05 0.4096
|  LS: AG 6 ; 3.75497685e-05 0.32768
|  LS: AG 7 ; 3.75699516e-05 0.262144
|  LS: AG 8 ; 3.76513182e-05 0.2097152
NL: Newton 3 ; 3.76513182e-05 0.00286368607
|  LS: AG 1 ; 3.34043479e-05 1
|  LS: AG 2 ; 3.33671644e-05 0.8
|  LS: AG 3 ; 3.36749565e-05 0.64
|  LS: AG 4 ; 3.4131926e-05 0.512
|  LS: AG 5 ; 3.46271949e-05 0.4096
|  LS: AG 6 ; 3.51029357e-05 0.32768
NL: Newton 4 ; 3.51029357e-05 0.00266986105
NL: Newton 5 ; 2.24358921e-05 0.00170643034
NL: Newton 6 ; 2.19445904e-07 1.66906289e-05
NL: Newton 7 ; 1.50624133e-07 1.14561787e-05
NL: Newton 8 ; 1.41269615e-09 1.07446923e-07
NL: Newton Converged
