
==
PG
==
NL: Newton 0 ; 2.77040813 1
NL: Newton 1 ; 0.247324743 0.0892737573
|  LS: AG 1 ; 1.21205865 1
|  LS: AG 2 ; 0.909156301 0.8
|  LS: AG 3 ; 0.698873002 0.64
|  LS: AG 4 ; 0.550610569 0.512
|  LS: AG 5 ; 0.445469761 0.4096
|  LS: AG 6 ; 0.371459715 0.32768
|  LS: AG 7 ; 0.320497754 0.262144
|  LS: AG 8 ; 0.286637684 0.2097152
NL: Newton 2 ; 0.286637684 0.103464064
|  LS: AG 1 ; 0.981825055 1
|  LS: AG 2 ; 0.78001279 0.8
|  LS: AG 3 ; 0.642083369 0.64
|  LS: AG 4 ; 0.545838362 0.512
|  LS: AG 5 ; 0.477460056 0.4096
|  LS: AG 6 ; 0.428201625 0.32768
|  LS: AG 7 ; 0.392360706 0.262144
|  LS: AG 8 ; 0.366091163 0.2097152
NL: Newton 3 ; 0.366091163 0.132143405
|  LS: AG 1 ; 0.810676849 1
|  LS: AG 2 ; 0.674838052 0.8
|  LS: AG 3 ; 0.585145896 0.64
|  LS: AG 4 ; 0.524537888 0.512
|  LS: AG 5 ; 0.48259065 0.4096
|  LS: AG 6 ; 0.45291685 0.32768
|  LS: AG 7 ; 0.431531119 0.262144
|  LS: AG 8 ; 0.415878726 0.2097152
NL: Newton 4 ; 0.415878726 0.150114607
|  LS: AG 1 ; 0.678155429 1
|  LS: AG 2 ; 0.58481168 0.8
|  LS: AG 3 ; 0.527251711 0.64
|  LS: AG 4 ; 0.491119044 0.512
|  LS: AG 5 ; 0.467888697 0.4096
|  LS: AG 6 ; 0.452571763 0.32768
|  LS: AG 7 ; 0.442230473 0.262144
|  LS: AG 8 ; 0.435099533 0.2097152
NL: Newton 5 ; 0.435099533 0.157052504
|  LS: AG 1 ; 0.57083065 1
|  LS: AG 2 ; 0.505113377 0.8
|  LS: AG 3 ; 0.469162622 0.64
|  LS: AG 4 ; 0.449896313 0.512
|  LS: AG 5 ; 0.439783748 0.4096
|  LS: AG 6 ; 0.434658666 0.32768
|  LS: AG 7 ; 0.432245289 0.262144
|  LS: AG 8 ; 0.431295813 0.2097152
NL: Newton 6 ; 0.431295813 0.155679522
|  LS: AG 1 ; 0.480436682 1
|  LS: AG 2 ; 0.433175212 0.8
|  LS: AG 3 ; 0.411944465 0.64
|  LS: AG 4 ; 0.404291484 0.512
|  LS: AG 5 ; 0.403245152 0.4096
|  LS: AG 6 ; 0.405167762 0.32768
|  LS: AG 7 ; 0.408234273 0.262144
NL: Newton 7 ; 0.408234273 0.147355283
|  LS: AG 1 ; 0.381097762 1
|  LS: AG 2 ; 0.350393539 0.8
|  LS: AG 3 ; 0.342379457 0.64
NL: Newton 8 ; 0.342379457 0.123584483
NL: Newton 9 ; 0.18045649 0.06513715
|  LS: AG 1 ; 0.536555793 1
|  LS: AG 2 ; 0.406489292 0.8
|  LS: AG 3 ; 0.309581696 0.64
|  LS: AG 4 ; 0.239020604 0.512
|  LS: AG 5 ; 0.190233707 0.4096
|  LS: AG 6 ; 0.159727539 0.32768
NL: Newton 10 ; 0.159727539 0.0576548768
|  LS: AG 1 ; 0.408867716 1
|  LS: AG 2 ; 0.351929097 0.8
|  LS: AG 3 ; 0.306874514 0.64
|  LS: AG 4 ; 0.271612728 0.512
|  LS: AG 5 ; 0.244347457 0.4096
|  LS: AG 6 ; 0.22351248 0.32768
|  LS: AG 7 ; 0.207753244 0.262144
|  LS: AG 8 ; 0.195924715 0.2097152
NL: Newton 11 ; 0.195924715 0.0707205241
|  LS: AG 1 ; 0.263100346 1
|  LS: AG 2 ; 0.249583554 0.8
|  LS: AG 3 ; 0.238562401 0.64
|  LS: AG 4 ; 0.22962645 0.512
|  LS: AG 5 ; 0.222461159 0.4096
|  LS: AG 6 ; 0.216775105 0.32768
|  LS: AG 7 ; 0.212297489 0.262144
|  LS: AG 8 ; 0.208788165 0.2097152
NL: Newton 12 ; 0.208788165 0.0753636847
NL: Newton 13 ; 0.148135827 0.0534707595
|  LS: AG 1 ; 0.220964497 1
|  LS: AG 2 ; 0.153563785 0.8
|  LS: AG 3 ; 0.0989603214 0.64
NL: Newton 14 ; 0.0989603214 0.0357204848
|  LS: AG 1 ; 0.158406209 1
|  LS: AG 2 ; 0.142974454 0.8
|  LS: AG 3 ; 0.131848181 0.64
|  LS: AG 4 ; 0.123748774 0.512
|  LS: AG 5 ; 0.117796717 0.4096
|  LS: AG 6 ; 0.113381591 0.32768
|  LS: AG 7 ; 0.110076472 0.262144
|  LS: AG 8 ; 0.107580557 0.2097152
NL: Newton 15 ; 0.107580557 0.0388320246
|  LS: AG 1 ; 0.109717606 1
|  LS: AG 2 ; 0.106496005 0.8
|  LS: AG 3 ; 0.104984445 0.64
|  LS: AG 4 ; 0.104430939 0.512
|  LS: AG 5 ; 0.104392046 0.4096
|  LS: AG 6 ; 0.104610811 0.32768
|  LS: AG 7 ; 0.104941245 0.262144
|  LS: AG 8 ; 0.105302772 0.2097152
NL: Newton 16 ; 0.105302772 0.0380098407
NL: Newton 17 ; 0.0652956328 0.023568958
|  LS: AG 1 ; 0.131654709 1
|  LS: AG 2 ; 0.0923459328 0.8
|  LS: AG 3 ; 0.0617672671 0.64
|  LS: AG 4 ; 0.0385463637 0.512
NL: Newton 18 ; 0.0385463637 0.0139136048
|  LS: AG 1 ; 0.108896084 1
|  LS: AG 2 ; 0.0945080189 0.8
|  LS: AG 3 ; 0.0829438865 0.64
|  LS: AG 4 ; 0.0736974571 0.512
|  LS: AG 5 ; 0.0663380439 0.4096
|  LS: AG 6 ; 0.0605030354 0.32768
|  LS: AG 7 ; 0.0558904373 0.262144
|  LS: AG 8 ; 0.0522515894 0.2097152
NL: Newton 19 ; 0.0522515894 0.0188606108
|  LS: AG 1 ; 0.0737640739 1
|  LS: AG 2 ; 0.0694345887 0.8
|  LS: AG 3 ; 0.0659488077 0.64
|  LS: AG 4 ; 0.0631563661 0.512
|  LS: AG 5 ; 0.0609279107 0.4096
|  LS: AG 6 ; 0.0591540702 0.32768
|  LS: AG 7 ; 0.0577441333 0.262144
|  LS: AG 8 ; 0.0566240941 0.2097152
NL: Newton 20 ; 0.0566240941 0.0204388998
NL: Newton 21 ; 0.0437199971 0.0157810673
|  LS: AG 1 ; 0.0701423178 1
|  LS: AG 2 ; 0.0483949096 0.8
|  LS: AG 3 ; 0.0311232573 0.64
NL: Newton 22 ; 0.0311232573 0.0112341777
|  LS: AG 1 ; 0.0557209236 1
|  LS: AG 2 ; 0.0501651374 0.8
|  LS: AG 3 ; 0.0459071026 0.64
|  LS: AG 4 ; 0.0426354605 0.512
|  LS: AG 5 ; 0.0401149075 0.4096
|  LS: AG 6 ; 0.0381671709 0.32768
|  LS: AG 7 ; 0.0366571298 0.262144
|  LS: AG 8 ; 0.0354823875 0.2097152
NL: Newton 23 ; 0.0354823875 0.0128076391
|  LS: AG 1 ; 0.0377541856 1
|  LS: AG 2 ; 0.0367903142 0.8
|  LS: AG 3 ; 0.0362000869 0.64
